OBJECTID,מס' סידורי,עיר,רשות תמרור,מרכז מטרופוליני,שלב,קוד צומת במערכת אביבים,X,Y,סטטוס,שם,רחוב ראשי,שם רחוב 1,שם רחוב 2,שם רחוב 3,שם רחוב 4,נת''צ קיים,מהיר לעיר,הקו הכחול,רכבת קלה - הקו האדום,רכבת קלה - הקו הירוק,רכבת קלה - הקו הסגול,הקו החום,הקו הירוק,אופני דן,ללא פרוייקט,קווי המטרונית,קוד צומת ברשות מקומית,MANTA_AUTH,מעודכן לתאריך,מקור,Fast2City_,x,y
1,1.000000,אור יהודה,נת"י,0.000000, ,2001.000000,188005.756900,658864.835400,קיים,שדרות יצחק רבין,כביש 412,שדרות יצחק רבין, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,188005.757,658864.835
2,2.000000,אור יהודה,נת"י,0.000000, ,2002.000000,186972.262500,658582.023500,קיים,יהדות קנדה כביש 412,כביש 412,יהדות קנדה, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,186972.263,658582.024
3,3.000000,אור יהודה,אור יהודה,0.000000, ,2003.000000,186926.225300,658817.185100,קיים,יהדות קנדה - אריאל שרון,יהדות קנדה,אריאל שרון, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,186926.225,658817.185
4,4.000000,אור יהודה,אור יהודה,0.000000, ,2004.000000,185676.000000,659921.000000,בתכנון,קזז - הראשונים - הרצל,יחזקאל קזז,הראשונים,הרצל, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY21,185676,659921
5,5.000000,אור יהודה,אור יהודה,0.000000, ,2005.000000,186880.839200,659243.742000,קיים,סעדון - משה דיין - העצמאות - יהדות קנדה,יהדות קנדה,העצמאות,איליהו סעדון,משה דיין, ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY10,186880.839,659243.742
6,6.000000,אור יהודה,אור יהודה,0.000000, ,2006.000000,187349.309000,659565.268300,קיים,העצמאות - דוד אלעזר - החצב,העצמאות,חצב,דוד אלעזר, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY14,187349.309,659565.268
7,7.000000,אור יהודה,נת"ע,0.000000, ,2007.000000,187504.129200,660021.337200,קיים,העצמאות סביון,כביש 461,העצמאות, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,187504.129,660021.337
8,8.000000,אור יהודה,נת"ע,0.000000, ,2008.000000,186370.021900,660225.578000,קיים,שדרות אלון יגאל,כביש 461,שדרות אלון יגאל, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,186370.022,660225.578
9,9.000000,אור יהודה,נת"ע,0.000000, ,2009.000000,185678.313600,660349.648600,קיים,קזז יחזקאל,כביש 461,קזז יחזקאל, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185678.314,660349.649
10,10.000000,אור יהודה,נת"ע,0.000000, ,2010.000000,185678.523300,660090.339100,קיים,קזז - ההגנה,קזז יחזקאל,ההגנה, , , ,לא,כן,לא,לא,לא,כן,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY03,185678.523,660090.339
11,11.000000,אור יהודה,אור יהודה,0.000000, ,2011.000000,185676.744000,660077.515500,קיים,קזז יחזקאל רמזור,יחזקאל קזז,דוד רמז, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185676.744,660077.515
12,12.000000,אור יהודה,נת"ע,0.000000, ,2012.000000,185086.924900,660443.339100,קיים,עגיב כמוס,כביש 461,עגיב כמוס, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185086.925,660443.339
13,13.000000,אור יהודה,אור יהודה,0.000000, ,2013.000000,185697.423400,660210.078900,בתכנון,קזז - צבי פנקס,יחזקאל קזז,צבי פנקס, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY02,185697.423,660210.079
14,14.000000,אור יהודה,אור יהודה,0.000000, ,2014.000000,185825.900300,659624.663700,בתכנון,בן פורת - אפרים גואטה,שדרות מדרכי בן פורת,סמטת אפריים גואטה, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY04,185825.9,659624.664
15,15.000000,אור יהודה,אור יהודה,0.000000, ,2015.000000,185956.248100,659551.085500,בתכנון,בן פורת - לח"י,שדרות מדרכי בן פורת,הלח"י, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY05,185956.248,659551.086
16,16.000000,אור יהודה,אור יהודה,0.000000, ,2016.000000,186041.403300,659491.855800,בתכנון,בן פורת - השומר,שדרות מדרכי בן פורת,השומר, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY06,186041.403,659491.856
17,17.000000,אור יהודה,אור יהודה,0.000000, ,2017.000000,186125.788500,659401.929700,בתכנון,בן פורת - החלוצים,שדרות מדרכי בן פורת,החלוצים, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY07,186125.789,659401.93
18,18.000000,אור יהודה,אור יהודה,0.000000, ,2018.000000,186276.401900,659242.933400,בתכנון,בן פורת - הל"ה,שדרות מדרכי בן פורת,הל"ה, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY08,186276.402,659242.933
19,19.000000,אור יהודה,אור יהודה,0.000000, ,2019.000000,186413.777500,659217.337000,בתכנון,סעדון - איילת השחר,שדרות מדרכי בן פורת,אליהו סעדון,סקאלר,שפרינצק, ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY09,186413.777,659217.337
20,20.000000,אור יהודה,אור יהודה,0.000000, ,2020.000000,186986.071200,659254.351500,בתכנון,העצמאות - ההסתדרות,העצמאות,ההסתדרות, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY11,186986.071,659254.352
21,21.000000,אור יהודה,אור יהודה,0.000000, ,2021.000000,187051.309400,659344.459100,בתכנון,העצמאות - ירושלים,העצמאות,ירושלים, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY12,187051.309,659344.459
22,22.000000,אור יהודה,אור יהודה,0.000000, ,2022.000000,187465.232000,659616.565500,בתכנון,העצמאות - יוסף חיים,העצמאות,חיים יוסף, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY15,187465.232,659616.566
23,23.000000,אור יהודה,אור יהודה,0.000000, ,2023.000000,187523.000000,659722.000000,בתכנון,העצמאות - הכלנית,העצמאות,הכלנית, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY16,187523,659722
24,24.000000,אור יהודה,אור יהודה,0.000000, ,2024.000000,187522.249900,659821.022200,בתכנון,העצמאות - יקותיאל אדם,העצמאות,הכלנית,אדם יקותיאל, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY17,187522.25,659821.022
25,25.000000,אור יהודה,אור יהודה,0.000000, ,2025.000000,186802.000000,659252.000000,בתכנון,סעדון - עייריה,סעדון, , , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY19,186802,659252
26,26.000000,אור יהודה,אור יהודה,0.000000, ,2026.000000,186695.000000,659251.000000,בתכנון,סעדון - היכל התרבות,אריק איינשטיין,דגניה,הסוכנות היהודית, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY20,186695,659251
27,27.000000,אור יהודה,אור יהודה,0.000000, ,2027.000000,187129.000000,659469.000000,בתכנון,העצמאות - חניונים,העצמאות, , , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY13,187129,659469
28,28.000000,אור יהודה,אור יהודה,0.000000, ,2028.000000,185627.000000,659704.000000,בתכנון,קזז - בן פורת - משה הדדי,יחזקאל קזז,שדרות מדרכי בן פורת,משה הדדי,הגלבוע, ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY22,185627,659704
29,29.000000,באר יעקב,נת"י,0.000000, ,29001.000000,183943.000000,650222.000000,קיים,רון ארד - הרב משה שמואל שפירא,רון ארד,הרב משה שמואל שפירא, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BRY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183943,650222
30,30.000000,בני ברק,בני ברק,0.000000,א,1001.000000,184819.820900,665078.329500,קיים,עזרא - בן יעקב,עזרא,הרב בן יעקב, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB13,184819.821,665078.33
31,31.000000,בני ברק,בני ברק,0.000000, ,1002.000000,184848.730900,665124.259300,קיים,עזרא - נחמיה - בן יעקב,עזרא,נחמיה, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא,11,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB14,184848.731,665124.259
32,32.000000,בני ברק,בני ברק,0.000000, ,1003.000000,185146.230600,665427.448300,קיים,כהנמן - עזרא - אשל אברהם,הרב כהנמן,עזרא,אשל אברהם, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא,3,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB16,185146.231,665427.448
33,33.000000,בני ברק,בני ברק,0.000000, ,1004.000000,185062.641100,665740.067800,קיים,כהנמן - נחום - הרב פוברסקי,הרב כהנמן,נחום,הרב פוברסקי, , ,לא,לא,לא,לא,לא,לא,לא,BB-6,לא,כן,לא,5,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185062.641,665740.068
34,34.000000,בני ברק,בני ברק,0.000000, ,1005.000000,185005.731400,665889.327500,קיים,כהנמן - רבי עקיבא - רוזנהיים,הרב כהנמן,ראובן אהרונוביץ,רבי עקיבא,רוזנהיים, ,לא,לא,לא,לא,לא,לא,לא,BB-6,לא,כן,לא,12,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185005.731,665889.328
35,35.000000,בני ברק,בני ברק,0.000000, ,1006.000000,184710.142000,665867.827900,קיים,רבי עקיבא - חזון איש,רבי עקיבא,חזון איש, , , ,לא,כן,לא,לא,לא,לא,לא,BB-4,לא,לא,לא,84,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB06,184710.142,665867.828
36,36.000000,בני ברק,בני ברק,0.000000, ,1007.000000,184603.932300,665877.328000,קיים,רבי עקיבא - הרב שך - רש"י,רבי עקיבא,רש"י,הרב שך, , ,לא,כן,לא,לא,לא,לא,לא,BB-4,לא,לא,לא,45,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB05,184603.932,665877.328
37,37.000000,בני ברק,בני ברק,0.000000, ,1008.000000,184446.379000,665893.706900,קיים,רבי עקיבא - סוקולוב - מהרש"ל,רבי עקיבא,מהרש"ל,סוקולוב, , ,לא,כן,לא,לא,לא,לא,לא,BB-4,לא,לא,לא,9,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB04,184446.379,665893.707
38,38.000000,בני ברק,בני ברק,0.000000, ,1009.000000,184367.532800,665899.638200,קיים,רבי עקיבא - קוטלר - סמטת מנשה,רבי עקיבא,הרב קוטלר,סמטת מנשה, , ,לא,כן,לא,לא,לא,לא,לא,BB-4,לא,לא,לא,47,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB02,184367.533,665899.638
39,39.000000,בני ברק,בני ברק,0.000000, ,1010.000000,184629.641900,665578.258600,קיים,חזון איש - ברטנורה - האדמו"ר מגור,חזון איש,ברטנורה,האדמו"ר מגור, , ,לא,כן,לא,לא,לא,לא,לא,BB-5,לא,לא,לא,84,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB08,184629.642,665578.259
40,40.000000,בני ברק,בני ברק,0.000000, ,1011.000000,184499.321800,665223.569500,קיים,חזון איש - נחמיה,חזון איש,נחמיה, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא,19,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB10,184499.322,665223.57
41,41.000000,בני ברק,בני ברק,0.000000,א,1012.000000,184403.431400,664777.330600,קיים,חזון איש האדמור מנדבורנא,חזון איש,האדמו"ר מנדבורנא, , , ,לא,כן,לא,לא,לא,לא,לא,BB-8,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB12,184403.431,664777.331
42,42.000000,בני ברק,בני ברק,0.000000, ,1013.000000,184391.231400,664678.640800,קיים,חזון איש - עזרא - שד' ירושלים,חזון איש,שדרות ירושלים, , , ,לא,לא,לא,לא,לא,לא,לא,BB-8,לא,כן,לא,18,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB36,184391.231,664678.641
43,43.000000,בני ברק,בני ברק,0.000000, ,1014.000000,183944.532800,665089.570500,קיים,בארי - יהודה הנשיא - מוהליבר,יהודה הנשיא,בארי,מוהליבר, , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא,11,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183944.533,665089.571
44,44.000000,בני ברק,בני ברק,0.000000, ,1015.000000,185103.494400,665636.333100,קיים,כהנמן - אבני נזר,הרב כהנמן,אבני נזר, , , ,לא,לא,לא,לא,לא,לא,לא,BB-6,לא,כן,לא,14,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185103.494,665636.333
45,45.000000,בני ברק,בני ברק,0.000000, ,1016.000000,184085.733300,665790.948800,קיים,ירושלים - האדמור מבעלז - יגאל,ירושלים,יגאל, , , ,לא,לא,לא,לא,לא,לא,לא,BB-3,לא,כן,לא,88,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184085.733,665790.949
46,46.000000,בני ברק,בני ברק,0.000000,א,1017.000000,184088.433300,665809.138700,קיים,ירושלים - האדמור מבלז,ירושלים,האדמו"ר מבלז, , , ,לא,לא,לא,לא,לא,לא,לא,BB-3,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB21,184088.433,665809.139
47,47.000000,בני ברק,בני ברק,0.000000, ,1018.000000,184105.533400,665943.448400,קיים,רבי עקיבא - ירושלים,רבי עקיבא,ירושלים, , , ,לא,כן,לא,לא,לא,לא,לא,BB-3,לא,לא,לא,11,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB01,184105.533,665943.448
48,48.000000,בני ברק,בני ברק,0.000000,א,1019.000000,183977.646700,666034.375200,קיים,רבי עקיבא - טרפון,רבי עקיבא,שדרות רבי טרפון, , , ,לא,לא,לא,לא,לא,לא,לא,BB-3,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183977.647,666034.375
49,49.000000,בני ברק,בני ברק,0.000000, ,1020.000000,183959.233900,666048.068400,קיים,רבי עקיבא - אחיעזר - טרפון,רבי עקיבא,אחיעזר, , , ,לא,לא,לא,לא,לא,לא,לא,BB-3,לא,כן,לא,36,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183959.234,666048.068
50,50.000000,בני ברק,בני ברק,0.000000, ,1021.000000,183861.824200,666120.448300,קיים,רבי עקיבא - הרב קוק - פתחיה,רבי עקיבא,הרב קוק, , , ,לא,לא,לא,לא,לא,לא,לא,BB-3,לא,כן,לא,37,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183861.824,666120.448
51,51.000000,בני ברק,בני ברק,0.000000,א,1022.000000,183850.234200,666129.758300,קיים,רבי עקיבא בן פתחיה,רבי עקיבא,בן פתחיה, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183850.234,666129.758
52,52.000000,בני ברק,בני ברק,0.000000,א,1023.000000,184928.932100,666358.566600,קיים,אהרונוביץ ראובן - יצחק נפחא,ראובן אהרונוביץ,יצחק נפחא, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184928.932,666358.567
53,53.000000,בני ברק,בני ברק,0.000000, ,1024.000000,184953.822200,666422.566400,קיים,אהרונוביץ - נפחא - שפירא,ראובן אהרונוביץ,הרב שפירא, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא,32,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184953.822,666422.566
54,54.000000,בני ברק,בני ברק,0.000000, ,1025.000000,185141.322400,666942.565100,קיים,אברבנאל - החלוצים,אברבנאל,החלוצים, , , ,לא,לא,לא,לא,לא,לא,לא,BB-7,לא,כן,לא,27,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185141.322,666942.565
55,55.000000,בני ברק,בני ברק,0.000000, ,1026.000000,184924.659100,666987.233800,קיים,אברבנאל - צבי הרלינג,אברבנאל,צבי הרלינג, , , ,לא,לא,לא,לא,לא,לא,לא,BB-7,לא,כן,לא,28,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184924.659,666987.234
56,56.000000,בני ברק,בני ברק,0.000000, ,1027.000000,184211.644300,666886.636300,קיים,אבו חצירא - דוד מכלוף,ישראל אבו חצירא,דוד מכלוף, , , ,לא,לא,לא,לא,לא,לא,לא,BB-2,לא,כן,לא,34,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184211.644,666886.636
57,57.000000,בני ברק,בני ברק,0.000000, ,1028.000000,184317.233900,666747.066500,קיים,אבו חצירא - המכבים - מנחם  בגין,ישראל אבו חצירא,מנחם בגין, , , ,לא,לא,לא,לא,לא,לא,לא,BB-2,לא,כן,לא,35,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184317.234,666747.067
58,58.000000,בני ברק,בני ברק,0.000000, ,1029.000000,184112.034700,667017.566100,קיים,אבו חצירא - הרב פתאיה,ישראל אבו חצירא,הרב פתאיה, , , ,לא,לא,לא,לא,לא,לא,לא,BB-2,לא,כן,לא,33,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184112.035,667017.566
59,59.000000,בני ברק,בני ברק,0.000000, ,1030.000000,184022.325000,667138.256000,קיים,אבו חצירא - הירקון,ישראל אבו חצירא,הירקון,מבצע קדש, , ,לא,לא,לא,לא,לא,לא,לא,BB-2,לא,כן,לא,26,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184022.325,667138.256
60,60.000000,בני ברק,בני ברק,0.000000, ,1031.000000,183987.145200,667264.255800,קיים,אבו חצירא - הקישון - ברוך הירש,מבצע קדש,ברוך הירש,הקישון, , ,לא,לא,לא,לא,לא,לא,לא,RB-1,לא,כן,לא,36,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183987.145,667264.256
61,61.000000,בני ברק,בני ברק,0.000000, ,1032.000000,184441.758900,667495.820300,קיים,אם המושבות - המכבים,המכבים,דרך אם המושבות, , , ,לא,לא,לא,לא,לא,לא,לא, ,כן,לא,לא,30,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184441.759,667495.82
62,62.000000,בני ברק,בני ברק,0.000000,א,1033.000000,184684.000000,665711.000000,בתכנון,חזון איש - האדמור מגור,חזון איש,האדמור מגור,רבנו תם, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB07,184684,665711
63,63.000000,בני ברק,בני ברק,0.000000, ,1034.000000,184569.931900,665452.949000,קיים,חזון איש - דסלר - ישמח משה,חזון איש,הרב דסלר, , , ,לא,כן,לא,לא,לא,לא,לא,BB-5,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB23,184569.932,665452.949
64,64.000000,בני ברק,בני ברק,0.000000,א,1035.000000,184462.231600,665060.639900,בתכנון,חזון איש - דבורה הנביאה,חזון איש,דבורה הנביאה, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB11,184462.232,665060.64
65,65.000000,בני ברק,בני ברק,0.000000,א,1036.000000,184882.230900,665168.329200,בתכנון,עזרא - שלמה המלך,עזרא,שלמה המלך, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB28,184882.231,665168.329
66,66.000000,בני ברק,בני ברק,0.000000,א,1037.000000,185226.820000,665079.259000,בתכנון,כהנמן - בר יוחאי,הרב כהנמן,בר יוחאי, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB25,185226.82,665079.259
67,67.000000,בני ברק,בני ברק,0.000000,א,1038.000000,185120.029900,664821.449700,בתכנון,בן דוד - עוזיאל,עוזיאל,אברהם בן דוד, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB20,185120.03,664821.45
68,68.000000,בני ברק,בני ברק,0.000000, ,1039.000000,183334.475600,666931.229200,קיים,בן גוריון - הירקון - הצלע,דרך דוד בן גוריון,הירקון,הצלע, , ,לא,כן,לא,לא,לא,לא,לא,RB-2,לא,לא,לא,36,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,RG01,183334.476,666931.229
69,69.000000,בני ברק,נת"י,0.000000,א,1040.000000,185286.775100,664850.476500,קיים,כהנמן - מבצע קדש,הרב כהנמן,מבצע קדש,מתתיהו, , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB18,185286.775,664850.477
70,70.000000,בני ברק,נת"י,0.000000,א,1041.000000,185283.139500,664779.139600,קיים,כהנמן- בן דוד- מבצע קדש,הרב כהנמן,אברהם בן דוד, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא,34,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,BB19,185283.14,664779.14
71,71.000000,בני ברק,נת"ע,0.000000, ,1042.000000,183635.435100,666501.637800,קיים,ז'בוטינסקי - רבי עקיבא - מצדה,ז'בוטינסקי,רבי עקיבא,מצדה, , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא,20,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183635.435,666501.638
72,72.000000,בני ברק,נת"ע,0.000000, ,1043.000000,183972.434400,666527.827300,קיים,ז'בוטינסקי - דב גרונר,ז'בוטינסקי,גרונר, , , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא,19,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,183972.434,666527.827
73,73.000000,בני ברק,נת"ע,0.000000,א,1044.000000,184415.643500,666605.446700,קיים,זבוטינסקי - סוקולוב,ז'בוטינסקי,סוקולוב,ישראל אבו חצירא, , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184415.644,666605.447
74,74.000000,בני ברק,נת"ע,0.000000, ,1045.000000,184581.823200,666632.636400,קיים,ז'בוטינסקי - הרב שך - אבו חצירא,ז'בוטינסקי,הרב שך, , , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא,18,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184581.823,666632.636
75,75.000000,בני ברק,נת"ע,0.000000, ,1046.000000,184993.232300,666649.825900,קיים,ז'בוטינסקי - אהרונוביץ - החלוצים,ז'בוטינסקי,ראובן אהרונוביץ, , , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא,17,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184993.232,666649.826
76,76.000000,בני ברק,נת"ע,0.000000,א,1047.000000,185127.577500,666639.461800,קיים,זבוטינסקי החלוצים,ז'בוטינסקי,החלוצים, , , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185127.578,666639.462
77,77.000000,בני ברק,נת"ע,0.000000, ,1048.000000,185503.790200,666621.189500,קיים,זבוטינסקי,ז'בוטינסקי,כביש 4, , , ,כן,לא,לא,לא,לא,לא,לא, ,לא,לא,לא,35,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185503.79,666621.19
78,78.000000,בני ברק,בני ברק,0.000000, ,1049.000000,183965.366800,667347.530000,קיים,מבצע קדש - ששת הימים - אם המושבות,מבצע קדש,דרך ששת הימים,דרך אם המושבות, , ,לא,כן,לא,לא,לא,לא,לא,RB-1,כן,לא,לא,51,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,RG04,183965.367,667347.53
79,79.000000,בני ברק,בני ברק,0.000000, ,1050.000000,183380.781100,666648.342300,קיים,בן גוריון - בן שמן,דרך דוד בן גוריון,בן שמן,בן נון, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא,40,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,RG03,183380.781,666648.342
80,80.000000,בני ברק,בני ברק,0.000000,א,1051.000000,184560.300000,665433.800000,קיים,חזון איש - יישמח משה,חזון איש,ישמח משה, , , ,לא,כן,לא,לא,לא,לא,לא,BB-5,לא,לא,לא, ,BB,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,184560.3,665433.8
81,81.000000,ברנר,נת"י,0.000000, ,31001.000000,181344.000000,642233.000000,קיים,מחלף גבעת ברנר,כביש 411, , , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,BR,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,181344,642233
